case,counting,bucket,radix
b,0.000008,0.000033,0.000028
b,0.000008,0.000033,0.000027
b,0.000008,0.000054,0.000028
b,0.000008,0.000034,0.000041
b,0.000008,0.000060,0.000027
b,0.000007,0.000051,0.000027
b,0.000008,0.000032,0.000044
b,0.000029,0.000032,0.000027
b,0.000007,0.000031,0.000027
b,0.000007,0.000031,0.000027
w,0.021832,0.050278,0.000027
w,0.021569,0.050534,0.000028
w,0.021551,0.050086,0.000026
w,0.021483,0.050252,0.000027
w,0.021560,0.050148,0.000028
w,0.021486,0.050052,0.000027
w,0.021465,0.050046,0.000027
w,0.021468,0.050910,0.000027
w,0.021782,0.050166,0.000027
w,0.021504,0.050119,0.000027
